,Unnamed: 0,nama,brand,harga,terjual,gambar
193,193,"HP OmniBook 7 Laptop Computer 16"" 2K Touch Screen Intel Core Ultra 5 16 GB",Brand New,914358375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
194,194,"Dell Dc15250 15.6"" Touch 13th Gen Intel® Core™ i7-1355U, 10 cores 1 TB SSD 16 GB",Brand New,1246858375,849,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
195,195,"Apple MacBook Air 15"" M4 chip 16GB RAM 256GB SSD Sky Blue MC7A4LL/A 2025 Model",Open Box,1413108375,325,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
196,196,"HP Elitebook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3GHz 32GB 512GB W11P",Excellent - Refurbished,610952125,410,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
197,197,"Apple MacBook Pro 16"" Apple M4 Pro chip 24GB RAM 512GB SSD Space Black MX2X3LL/A",Open Box,2990837500,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
198,198,"Apple MacBook Pro A2141 16"" i7-9750H 2.6GHz 16GB/512GB Radeon Pro 5300M - Tahoe",Good - Refurbished,540295875,83,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
199,199,New ListingASUS ROG M16 GU604VI Laptop - i9 - 16GB - No Drives - Parts 116,Parts Only,746462500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
200,200,Microsoft Surface Pro Copilot+ PC Touchscreen 13  LCD Snapdragon X Plus 16GB RAM,Brand New,1246858375,58,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
201,201,"Dell Latitude 5431 14"" 256GB i5-1250P WIN11P, Silver",Good - Refurbished,344470000,13,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
202,202,"Dell Latitude 5320 13.3"" 512GB I7-1185G7 WIN11P, Gray",Good - Refurbished,450537500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
203,203,"Dell Latitude 14 3420 14"" 512GB i5-1145G7 WIN11P, Gray",Good - Refurbished,330837500,37,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
204,204,New ListingDELL LATITUDE 14 RUGGED 5414 Intel i5  TOUCHSCREEN 16GB 250GB SSD BAT EXC 203141,Pre-Owned,430587500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
205,205,New ListingHP 840 G8 Laptops (i7-1185G7 3GHz CPU 32GB RAM) (Read the Description)),Parts Only,333647125,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
206,206,"New ListingDell Precision 7750 17.3"" | 2.70GHz i7-10850H | 16GB DDR4 | 512GB | BIOS Lock",Pre-Owned,448858375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
207,207,"Lenovo LOQ-E 15.6"" 144Hz RTX 3050 Intel i5-12450HX 16GB RAM 512GB SSD AI Laptop",Brand New,864483375,214,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
208,208,"2021 Apple M1 Pro MacBook Pro 16.2"" 16GB/512GB SSD 90%+ (Gray) A2485 w/Warranty",Very Good - Refurbished,1223915875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
209,209,"Apple MacBook Pro18.1 - 16-Inch M1 Pro 3.20GHz,32GB RAM,512GB SSD 10 CPU / 16GPU",Good - Refurbished,1328337500,88,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
